Country,slope(log cases),start day,start date,intersecpt(log cases),MSE fit,total cases,exp MSE,pred_day 0,pred_day 1,pred_day 2,pred_day 3,pred_day 4,pred_day 5,pred_day 6,pred_day 7,pred_day 8,pred_day 9,pred_day 10,pred_day 11,pred_day 12,pred_day 13,pred_day 14,pred_day 15,pred_day 16,pred_day 17,pred_day 18,pred_day 19,pred_day 20,pred_day 21,pred_day 22,pred_day 23,pred_day 24,pred_day 25,pred_day 26,pred_day 27,pred_day 28,pred_day 29,pred_day 30,pred_day 31,pred_day 32,pred_day 33,pred_day 34,pred_day 35,pred_day 36,pred_day 37,pred_day 38,pred_day 39,pred_day 40,pred_day 41,pred_day 42,pred_day 43,pred_day 44,pred_day 45,pred_day 46,pred_day 47,pred_day 48,pred_day 49,pred_day 50,pred_day 51,pred_day 52,pred_day 53,pred_day 54,pred_day 55,pred_day 56,pred_day 57,pred_day 58,pred_day 59,pred_day 60,pred_day 61,pred_day 62,pred_day 63,pred_day 64,temp,Population,Population Density
Australia,0.19559427562499876,42,3/4/20,3.610959862189009,3.9512437185814275,2364,52.00000000000001,37.00155216571312,44.995124426109705,54.71557552650782,66.53596902734076,80.90996268992008,98.38921951815601,119.64458016735549,145.49180930113198,176.92290402212885,215.14416597044755,261.6224982681161,318.14170415130957,386.8709479892403,470.4480061718353,572.0805029722997,695.6690167403945,845.9567811489993,1028.7117269145747,1250.9478506150494,1521.1944065729149,1849.823253184364,2249.446916999011,2735.402651948421,3326.341071550492,4044.941945348494,4918.784631310568,5981.406550726779,7273.5903290697,8844.929002311012,10755.72936012859,13079.326474876809,15904.898246190925,19340.887981318643,23519.166367222846,28600.092567797034,34778.66868727568,42292.023803489945,51428.514802504586,62538.79329778446,76049.26337387701,92478.44665263474,112456.8827608386,136751.32896411678,166294.1877308055,202219.2916333904,245905.4189849769,299029.2103080056,363629.51652924926,442185.6485361402,537712.5312532191,653876.4141801709,795135.5792743727,966911.4464400653,1175796.6435233736,1429808.0263822011,1738694.3597499095,2114310.467451567,2571072.2115750434,3126509.762353439,3801940.392838338,4623286.619714611,5622071.089882285,6836626.395800068,8313566.251388143,10109574.491108552,69.05714285714281,25499884.0,3.0
Saudi Arabia,0.200067010528031,51,3/13/20,4.342329639317724,4.454347296253507,900,85.99999999999997,76.88644855396059,93.91561345294014,114.71647625981721,140.12441000625984,171.15980999217712,209.0690733702248,255.3746550775101,311.93621038569773,381.0252795848393,465.41651417510934,568.4991082558313,694.4129102519918,848.2146812931171,1036.0811772639706,1265.5572104035991,1545.858652730334,1888.2425500615275,2306.459210591768,2817.304424132512,3441.2939894133992,4203.487638798311,5134.4954496439495,6271.7071602834685,7660.793760578474,9357.541661665451,11430.093106069024,13961.682794170336,17053.98063131533,20831.174841955093,25444.959430720024,31080.626289353404,37964.50661156005,46373.060466703,56643.97957416587,69189.74917133906,84514.21362661754,103232.81108069539,126097.28974945044,154025.8985074782,188140.2642211778,229810.4368434898,280709.9113037745,342882.8358993879,418826.1063115006,511589.64218181075,624898.8734075158,763304.3552652802,932364.5209822484,1138868.9111885626,1391110.8452576098,1699220.4851511067,2075571.6677792736,2535278.8444666862,3096804.084860867,3782698.522863396,4620508.02142228,5643879.428135596,6893911.849443585,8420807.211255124,10285886.393347124,12564051.906500552,15346796.014715899,18745875.110197697,22897797.905840844,27969307.693269905,67.12857142857143,34813871.0,16.0
Serbia,0.20102213526535992,54,3/16/20,4.056216586541474,4.007333185232471,384,55.000000000000014,57.75538469583315,70.6147270937346,86.33722567659339,105.56036742358799,129.06357695975672,157.79981923333915,192.93423858722602,235.89140089058017,288.4130542177626,352.6287500484285,431.14218840743064,527.1367879085864,644.5047611624383,788.0049290604356,963.4556726991202,1177.9708464043404,1440.2482172232737,1760.9221259986994,2152.9946690786787,2632.3628834252227,3218.463310454917,3935.0600732015964,4811.2084203056065,5882.432804840611,7192.16726455326,8793.516505406662,10751.409093606846,13145.230059785543,16072.03965733578,19650.508783197914,24025.730627306675,29375.103644617237,35915.52438165082,43912.181799069804,53689.30966631575,65643.33299664459,80258.94156005226,98128.74219334846,119977.28673313952,146690.44981218225,179351.34767601595,219284.25439003442,268108.29607066093,327803.10023563606,400789.06210263015,490025.4823265499,599130.5552841633,732528.0729705051,895626.7927870536,1095039.74189713,1338852.3500985042,1636950.282972178,2001420.2676833973,2447040.163382875,2991878.1466822512,3658025.306875292,4472491.354829634,5468299.763107066,6685826.741041478,8174438.335075251,9994492.032490047,12219784.025881594,14940541.36556136,18267080.320181582,22334279.27806735,43.93650793650791,8737371.0,100.0
Netherlands,0.20128650835140968,43,3/5/20,4.889103080506492,4.406719247264253,6438,82.00000000000001,132.83437886122002,162.45313965970612,198.67614703019206,242.975983606385,297.1535813029359,363.41143503386206,444.4431412681955,543.5429014553048,664.7394419889827,812.9597949908274,994.2295981324993,1215.9180563337259,1487.0375238228985,1818.609885541841,2224.114632486169,2720.0368466958284,3326.537373261484,4068.2724240106177,4975.395932419076,6084.785408723564,7441.541130217857,9100.819613676544,11130.075906501726,13611.805852994576,16646.89981776172,20358.74420598127,24898.23752061868,30449.924875573404,37239.50035259462,45542.982197087535,55697.93385425271,68117.18701703947,83305.62457228468,101880.70572618404,124597.56772195894,152379.72461588698,186356.61111642487,227909.4977651487,278727.6440604057,340876.97233012854,416884.05416928447,509838.8237628067,623520.1937234305,762549.6801353361,932579.28215943,1140521.2541150642,1394829.1110179534,1705841.2913599766,2086201.4481365436,2551372.4543138505,3120265.0187238436,3816006.4676602036,4666880.945638433,5707479.25752794,6980105.096864748,8536494.828082789,10439920.737384884,12767763.2562167,15614656.726563502,19096336.593623683,23354344.426707704,28561782.042709187,34930348.65591498,42718947.137097046,52244209.254208945,69.21322751322752,17134872.0,508.0
Belgium,0.20640019549537236,43,3/5/20,4.540346076092684,3.912023005428146,4937,49.99999999999999,93.7232298767579,115.20881582448955,141.61986586606844,174.0855182339262,213.99376050415952,263.0507695256831,323.3538547340449,397.48112335842177,488.60170093292686,600.6112193138721,738.2983646534956,907.5496056712376,1115.6008548665557,1371.3468218175115,1685.7212841898931,2072.1645339904876,2547.1979835572392,3131.1304971248264,3848.926645400996,4731.274003201408,5815.895119777551,7149.160251840206,8788.06980763553,10802.69125650049,13279.154687856344,16323.335087255015,20065.37875595935,24665.267389778855,30319.657695402526,37270.288954877695,45814.317982577726,56317.023319832544,69227.42180321568,85097.46515371387,104605.63728882332,128585.96120149312,158063.65552230607,194298.96517182293,238841.0399727443,293594.16466688813,360899.1718353103,443633.5183268804,545334.3037121113,670349.4901078431,824023.7883972784,1012927.157944678,1245135.688737203,1530576.8743656692,1881454.0371249665,2312768.0504652173,2842958.6637291834,3494692.847407264,4295833.862635034,5280632.485070369,6491191.310940481,7979264.747993114,9808471.645452216,12057015.158425134,14821026.127745014,18218672.913072094,22395213.38486501,27529205.06047226,33840138.88314655,41597823.00706223,51133917.76854238,45.057142857142864,11589623.0,383.0
Czechia,0.20688629264164543,49,3/11/20,4.630348989334424,4.51085950651685,1654,90.99999999999997,102.54984666899894,126.12018253350831,155.10798854362383,190.75843078213853,234.6028676932374,288.5246293137576,354.8399153819929,436.39728728800145,536.7000275245554,660.0566225673189,811.7658331497715,998.3443015938166,1227.806473028724,1510.008854464896,1857.0733993100912,2283.9082037351795,2808.8478813097577,3454.4411230868895,4248.419272641208,5224.887521029916,6425.789889245639,7902.710926223398,9719.091514021226,11952.95395969405,14700.253429700719,18078.99968711659,22234.326180145054,27344.724223728917,33629.71006243049,41359.25415191169,50865.377692132075,62556.41453929988,76934.55111448126,94617.3977325423,116364.517944045,143110.05545328837,176002.86009599204,216455.83648089846,266206.6350574747,327392.2925837904,402641.0281626847,495185.1379287193,608999.8377572437,748974.0179595948,921120.2447021805,1132833.0287232683,1393206.4552345795,1713424.8187439293,2107243.042448688,2591577.5185301765,3187232.7487893743,3919794.9983440507,4820731.349123824,5928741.362811816,7291419.413675522,8967299.09649997,11028367.526804186,13563157.534662962,16680550.576771718,20514453.720171537,25229551.596642084,31028380.401947282,38160027.80232082,46930832.45113561,57717542.711607434,40.939682539682536,,
Poland,0.21092823285372414,51,3/13/20,4.469577705668583,4.219507705176107,1051,68.00000000000001,87.31984055267645,107.82461139814953,133.1443890595333,164.4098514074551,203.01718630993292,250.69043968087385,309.5585043300099,382.2501876219084,472.0116032774723,582.8511295563858,719.7184070609655,888.7253694723477,1097.4191775490542,1355.1192445057288,1673.3334029491161,2066.27179768712,2551.4814527652134,3150.62984990257,3890.472509740993,4804.04778413385,5932.152214019316,7325.162336335715,9045.284294435773,11169.331710414226,13792.15586778267,17030.8813824419,21030.136509720065,25968.511651629455,32066.5344749011,39596.51777600046,48894.71985855912,60376.36045601931,74554.16274927379,92061.24949009027,113679.4156776873,140374.04033074185,173337.19637199296,214040.88373684074,264302.7628791741,326367.3240643672,403006.11713858345,497641.5176265804,614499.556046507,758798.6351747747,936982.562603392,1157008.3048720874,1428701.3130996928,1764194.2875063883,2178468.9742585793,2690025.18907092,3321706.943427481,4101722.5648452635,5064904.365585286,6254264.111471579,7722913.751703411,9536437.181610523,11775818.951589948,14541060.706405897,17955646.850262843,22172058.856017437,27378584.465059422,33807725.84892178,41746582.20677931,51549670.44324173,63654756.445553884,39.715873015873015,37846611.0,124.0
Mexico,0.21110542914128055,54,3/16/20,4.157148340093589,3.970291913552122,405,53.00000000000001,63.889072674004716,78.90572372272283,97.45192684162957,120.35727697674568,148.64635919203795,183.5845796454626,226.734768794838,280.0270887659997,345.8453719275643,427.1337527051347,527.5283624098432,651.5199779562292,804.6548999507693,993.7830456801142,1227.3643545098255,1515.8472115917123,1872.1358172472287,2312.1674080461207,2855.6251494037433,3526.818588277796,4355.771049718814,5379.562617887085,6643.988774762703,8205.608889540272,10134.276190210323,12516.262386132074,15458.116709887432,19091.431998202566,23578.731004719335,29120.7362467758,35965.34857556793,44418.736092406354,54859.02943221194,67753.23602147224,83678.12990664925,103346.05158128527,127636.77187045965,157636.8451841453,194688.2124598871,240448.22786543798,296963.7943311112,366762.9240872711,452967.81982473825,559434.5347403601,690925.4586368983,853322.3455969961,1053889.4122264907,1301598.275181753,1607529.262844533,1985367.052319311,2452012.8022181313,3028340.1627008715,3740128.98004898,4619218.46155034,5704931.383208089,7045833.046871986,8701903.667152766,10747221.36171311,13273275.758458802,16393060.441439256,20246127.295699604,25004828.838274214,30882027.762622766,38140618.55410908,47105287.09033529,58.3761904761905,128932753.0,66.0
Israel,0.21596031120478634,46,3/8/20,3.790437735216275,4.110873864173311,2369,61.00000000000001,44.27577710157979,54.94859140620447,68.19412092076581,84.63252667894467,105.0334614678078,130.35210528169276,161.77388723475866,200.76998783018476,249.16622022464358,309.2285155366314,383.76901465526686,476.2777338108319,591.0859685421673,733.5690867005761,910.398205340461,1129.8525351102166,1402.2070162337222,1740.2133953554192,2159.697267460875,2680.299036616334,3326.393487607911,4128.2310231954025,5123.354000169268,6358.354477636014,7891.055676015813,9793.2192835421,12153.905367445645,15083.642202219331,18719.60124800519,23232.019573678117,28832.170425066015,35782.25512352384,44407.67943754338,55112.289212066935,68397.27859381567,84884.65614336576,105346.36752680613,130740.43832314276,162255.82916827273,201368.10337145274,249908.51338452293,310149.7407802277,384912.3041200081,477696.6167705355,592846.8776692309,735754.4684704873,913110.3802090342,1133218.4881985937,1406384.3428229634,1745397.6795611102,2166131.239560307,2688283.937777965,3336303.174124372,4140529.470585888,5138617.026700458,6377296.704365548,7914563.985638405,9822394.344594982,12190113.168053385,15128578.006208668,18775368.967841092,23301230.276493978,28918064.58387981,35888854.33749157,44539974.72485349,55.75079365079365,8655535.0,400.0
France,0.22147171989559608,37,2/28/20,4.723396634643493,4.04305126783455,25600,57.00000000000001,112.54989502362302,140.4523597187047,175.27217903145967,218.72424787993683,272.9486041367533,340.61582665081363,425.058562698818,530.4356626646302,661.9370056681545,826.0391039166442,1030.8240744308641,1286.3776876759987,1605.286097207494,2003.2557145353162,2499.8867583786746,3119.6385760300623,3893.034279427424,4858.164024912009,6062.560974012427,7565.542327337171,9441.130728760072,11781.699920633477,14702.524200518636,18347.45574263557,22896.009395182427,28572.203883620205,35655.59485396328,44495.04313941951,55525.89634495305,69291.42995209349,86469.60392999212,107906.45263027666,134657.75243607274,168041.01931942202,209700.39721490222,261687.6329969107,326563.1261220111,407522.02968582587,508551.61343968206,634627.638980614,791959.4186989608,988295.6277691445,1233305.9305894552,1539057.216979234,1920607.9030235042,2396749.566202844,2990932.4407394323,3732420.354305151,4657731.987348831,5812439.437843355,7253412.671738289,9051620.399515891,11295625.323534384,14095945.898979066,17590499.427505128,21951394.55887599,27393407.734972615,34184561.045623094,42659322.46136824,53235078.56175916,66432691.04995939,82902149.4731033,103454583.55875172,129102211.79231505,161108193.7244703,73.04841269841269,65273511.0,119.0
Russia,0.2228877239454084,52,3/14/20,4.076605512796773,4.07753744390572,658,59.000000000000014,58.94504167723508,73.66245481382681,92.05451544017977,115.03871048478386,143.7616052479442,179.65603974845865,224.51260586881423,280.56897093234505,350.62150361406236,438.16477063755593,547.5658630429817,684.2822482823921,855.1340156821465,1068.644096222261,1335.463428477595,1668.9022801003705,2085.5942297868364,2606.3259324317955,3257.074060259921,4070.3011476848874,5086.574983045621,6356.592330486844,7943.707935238311,9927.094971581282,12405.694592274556,15503.151602494949,19373.982474114324,24211.283391364315,30256.362843321444,37810.77928455641,47251.384361984245,59049.122138455896,73792.52211132168,92217.05797390017,115241.83668004666,144015.44804378087,179973.2620787188,224909.03235192163,281064.37728151307,351240.60314765695,438938.4471016152,548532.7112451826,685490.4993918989,856643.9432388213,1070531.0228788701,1337821.4834661821,1671849.0948637994,2089276.806016817,2610927.9752401593,3262825.1422979683,4077488.161362448,5095556.452143031,6367816.295093952,7957734.302209604,9944623.445458401,12427599.580008702,15530525.83318938,19408191.509755243,24254033.747805182,30309787.119732067,37877542.548014596,47334817.09420033,59153386.37666784,73922819.07129428,92379887.51228435,13.993650793650794,145934462.0,9.0
