Country,slope(log cases),start day,start date,intersecpt(log cases),MSE fit,total cases,total deaths,total recovered,mortality,mu at 21,temp
Poland,0.21706780283832983,51,3/13/20,4.4429729024019595,4.219507705176107,6934,245,487,0.03533314104413037,0.18933577850983288,7.460205938092234
Romania,0.18566216183004045,51,3/13/20,4.5162688408901115,4.48863636973214,6633,331,914,0.049902005125885725,0.205214673081564,8.760901768793424
Netherlands,0.234105793783467,43,3/5/20,4.704098315002793,4.406719247264253,26710,2833,295,0.10606514414077124,0.20773973680670182,9.504604548325991
Chile,0.2453176310441118,52,3/14/20,4.373625636373707,4.110873864173311,7525,82,2367,0.010897009966777409,0.21191116872652246,9.383473684210513
France,0.28972172054512757,37,2/28/20,4.270367620738807,4.04305126783455,125394,14986,28001,0.11951130038119846,0.21995822449333044,12.772445672773216
Ireland,0.24388784267449248,51,3/13/20,4.545858048616062,4.499809670330265,10647,365,25,0.034281957358880434,0.22125824440428163,9.419558433354414
Czechia,0.22582068739721972,49,3/11/20,4.542690065232201,4.51085950651685,6059,143,519,0.023601254332398087,0.22130045301865622,
Germany,0.27868837158361837,38,2/29/20,4.561682284880757,4.3694478524670215,130072,3194,64300,0.024555630727597023,0.2244414010341758,8.152496209728362
Australia,0.17443766457829957,42,3/4/20,3.7214391939571314,3.9512437185814275,6351,61,1806,0.009604786647772005,0.2272341529457463,21.624696891191693
China,0.3046321754992038,0,1/22/20,6.379590050357951,6.306275286948016,83213,3345,78039,0.0401980459783928,0.23970997502310037,6.612731031349375
Norway,0.2660506377729597,42,3/4/20,4.205302549523691,4.02535169073515,6603,134,32,0.020293805845827653,0.24074625540158304,0.09580385344283023
"Korea, South",0.28698028064863207,29,2/20/20,5.295997508759459,4.6443908991413725,10537,217,7447,0.020594096991553575,0.24366398088172808,
Belgium,0.23143839640807165,43,3/5/20,4.3981829072944745,3.912023005428146,30589,3903,6707,0.12759488705090066,0.2511089716120391,9.48337839545166
Canada,0.23278727571780783,45,3/7/20,3.815815790318936,3.9889840465642745,25679,779,7758,0.030336072276957827,0.25264302010439726,-5.216658945686897
Italy,0.30729784744129457,31,2/22/20,4.746141393201915,4.127134385045092,159516,20465,35435,0.12829434037964843,0.253055091938781,12.737121920404292
Austria,0.2829048911811426,44,3/6/20,4.083532153641703,4.007333185232471,14041,368,7343,0.02620895947582081,0.2558818013012953,6.210731838281731
US,0.1808639501649401,33,2/24/20,3.5486222169060144,3.9318256327243257,580619,23528,43482,0.04052227019784058,0.26418890113851534,
Portugal,0.29643331541965007,49,3/11/20,4.147453212095458,4.07753744390572,16934,535,277,0.03159324436045825,0.27417480925201365,14.688179987212278
United Kingdom,0.2423828487973521,41,3/3/20,4.230795827444798,3.9318256327243257,89570,11347,304,0.1266830411968293,0.2825703094725921,8.489325331648798
Iran,0.37615658427224036,33,2/24/20,4.374340974852804,4.110873864173311,73303,4585,45983,0.06254859964803623,0.29925371993654687,17.60707645115617
Switzerland,0.2716203284705339,41,3/3/20,4.289041467848564,4.02535169073515,25688,1138,13700,0.04430084085954531,0.3027509754672658,6.992051484523055
Turkey,0.36250025454307583,56,3/18/20,5.193901276621769,4.584967478670572,61049,1296,3957,0.02122884895739488,0.32707237553681967,11.63156730091614
Brazil,0.2865856200254454,50,3/12/20,4.320486281425941,3.9512437185814275,23430,1328,173,0.05667947076397781,0.3409092337021805,24.699255545286466
Spain,0.33056575248696674,39,3/1/20,4.365726341094196,4.430816798843313,170099,17756,64727,0.10438626917265828,0.3570510333319345,13.6128341756159
