Country,slope(log cases),start day,start date,intersecpt(log cases),MSE fit,exp MSE,pred_day 0,pred_day 1,pred_day 2,pred_day 3,pred_day 4,pred_day 5,pred_day 6,pred_day 7,pred_day 8,pred_day 9,pred_day 10,pred_day 11,pred_day 12,pred_day 13,pred_day 14,pred_day 15,pred_day 16,pred_day 17,pred_day 18,pred_day 19,pred_day 20,pred_day 21,pred_day 22,pred_day 23,pred_day 24,pred_day 25,pred_day 26,pred_day 27,pred_day 28,pred_day 29,pred_day 30,pred_day 31,pred_day 32,pred_day 33,pred_day 34,pred_day 35,pred_day 36,pred_day 37,pred_day 38,pred_day 39,pred_day 40,pred_day 41,pred_day 42,pred_day 43,pred_day 44,pred_day 45,pred_day 46,pred_day 47,pred_day 48,pred_day 49,pred_day 50,pred_day 51,pred_day 52,pred_day 53,pred_day 54,pred_day 55,pred_day 56,pred_day 57,pred_day 58,pred_day 59,pred_day 60,pred_day 61,pred_day 62,pred_day 63,pred_day 64
Sweden,0.17934230987546906,43,3/5/20,4.8578575899975736,4.543294782270004,94.0,128.74807526030452,154.0380885181525,184.29582474420008,220.4970948736641,263.80938860230833,315.6295258883076,377.6287043470528,451.8063953158082,540.5548267344186,646.736132412718,773.7746557458107,925.7673846688174,1107.6160793745178,1325.1853539081583,1585.4918097653378,1896.9303210448713,2269.544768844929,2715.351956077221,3248.7291489406944,3886.8777432536917,4650.378008867578,5563.852802649808,6656.761654756834,7964.350837451498,9528.790056151043,11400.532420952124,13639.94155766719,16319.238332646095,19524.829973190397,23360.096697612298,27948.725723660147,33438.70017696556,40007.07154167052,47865.66956459934,57267.933757186474,68517.08681085816,81975.91351822704,98078.46056996817,117344.03454541518,140393.94953158428,167971.56448075405,200966.25651068205,240442.10328555174,287672.1994834347,344179.7140551376,411787.01236960385,492674.4274333352,589450.5755536116,705236.4841231756,843766.2446445137,1009507.4370502346,1207805.2089996675,1445054.656703972,1728907.0665553065,2068516.6688454289,2474835.861372492,2960968.423887042,3542592.1145307464,4238464.276988256,5071026.76416508,6067129.687159049,7258897.330404301,8684764.158720924,10390714.327461474,12431764.669912895
Iran,0.18130423069737386,34,2/25/20,5.562254608471343,4.3694478524670215,79.0,260.4092959607795,312.1734113977589,374.227188872673,448.6160056504693,537.7918187399716,644.693984746026,772.8461450780662,926.4723699839193,1110.636389674839,1331.4085017898262,1596.0656566972482,1913.3313157185667,2293.662988328904,2749.59692595326,3296.1613339367755,3951.3717217199746,4736.824718637311,5678.409928318958,6807.163285389057,8160.290042263049,9782.391105085919,11726.933140519292,14058.010910104787,16852.45992115152,20202.389030006903,24218.21647577348,29032.30941629014,34803.34693045508,41721.55029740649,50014.95294970649,59956.91676674939,71875.14245569255,86162.47101437114,103289.83230716872,123821.76755659151,148435.03739307055,177940.92880972926,213311.9962898141,255714.11853087816,306544.927399128,367479.8757847606,440527.4628177291,528095.4367424807,633070.1575888408,758911.7355410767,909768.0808957493,1090611.6248507232,1307403.2176292986,1567288.6062455063,1878833.9680861004,2252308.2638177527,2700021.7163570393,3236731.5726323114,3880128.5225994517,4651419.808546501,5576028.244766511,6684430.188241773,8013160.08099757,9606014.675213821,11515496.633999117,13804545.090880083,16548610.20961122,19838140.12462967,23781562.23510983,28508857.120140925
Finland,0.1987497822375486,49,3/11/20,4.394510622822434,4.060443010546419,57.999999999999986,81.00497907317525,98.81608597961434,120.54344016939673,147.04813314373317,179.38059035539897,218.82220133185535,266.93610329216904,325.629130897672,397.22738730892377,484.5684315567536,591.1137357675772,721.0858691115061,879.6358453032863,1073.0472659183047,1308.9853500658023,1596.800719883052,1947.8999813793625,2376.197787370495,2898.668298516088,3536.017897786248,4313.505819160316,5261.945213450007,6418.92432516512,7830.296177709898,9551.995805633838,11652.25705390001,14214.316799645276,17339.713769278136,21152.312688570233,25803.213249561944,31476.738444876508,38397.739597179396,46840.50759435609,57139.64349761095,69703.31934292431,85029.45468367905,103725.4499779824,126532.25888793163,154353.7535164326,188292.5463751759,229693.68876846458,280197.9774331627,341806.9820663441,416962.3708906712,508642.6780627442,620481.3479791847,756910.7347743525,923337.7639513988,1126358.217911824,1374018.1378786096,1676132.7020097226,2044675.2173766522,2494251.6422127634,3042679.44454429,3711693.7383427955,4527808.682559554,5523368.281730873,6737828.233145402,8219319.622327391,10026556.438711489,12231162.509555764,14920510.072388092,18201182.4833746,22203198.294552617,27085164.107196104
Saudi Arabia,0.20280215131547186,51,3/13/20,4.307422625920279,4.442651256490317,85.00000000000001,74.24887499015512,90.94225796263946,111.38881611929985,136.43237626182955,167.10648286730725,204.67705233463903,250.69461719005812,307.0583163632633,376.0942724045887,460.6515902607867,564.2199394664401,691.0735723527853,846.4477218867353,1036.7546590560291,1269.8483264607487,1555.3484695051845,1905.037642042278,2333.3474708420677,2857.9542469556354,3500.5084239528583,4287.528129331574,5251.493564198044,6432.187456951558,7878.336891322654,9649.62426679519,11819.150383487891,14476.451302688465,17731.19348848374,21717.699728500585,26600.49261791943,32581.084385627055,39906.29327775129,48878.429714648235,59867.7726027187,73327.85069682178,89814.15967313286,110007.08736361015,134739.99327352154,165033.60122008112,202138.12447192,247584.86188843808,303249.3944250107,371428.9901156102,454937.4120264484,557221.0418925642,682501.1118447708,835947.9141118994,1023894.1783101099,1254096.422372314,1536055.063036697,1881406.4968125622,2304403.332554201,2822502.5947786816,3457086.1728021675,4234343.248537234,5186351.120631713,6352399.030421024,7780609.623819491,9529924.96667199,11672539.076162387,14296877.358533757,17511245.914128553,21448301.316094685,26270525.329943895,32176930.51492818
Belgium,0.20550685194262958,44,3/6/20,4.80403832641046,4.68213122712422,108.00000000000003,122.00210838283694,149.8365717325729,184.0213954181862,226.0053976147855,277.5679405915935,340.89434348632636,418.66850030767927,514.1866284939159,631.4969689089144,775.5713580285477,952.5159438746352,1169.829976240549,1436.7236392329403,1764.5083964802513,2167.076392584163,2661.489228763866,3268.7010661304876,4014.4467030907354,4930.332265297682,6055.174733673865,7436.6470822648735,9133.298750010495,11217.037077889405,13776.17487948714,16919.17330685351,20779.23864145957,25519.96783104208,31342.28204097839,38492.94207735386,47275.00658162879,58060.676235186904,71307.06833570678,87575.59030205802,107555.73319389223,132094.2936607743,162231.26280291844,199243.90298204886,244700.8806418904,300528.7493906979,369093.60102595104,453301.34502772737,556720.8665573675,683735.2826328543,839727.7070067503,1031309.3968173265,1266599.950304093,1555571.4309025079,1910471.0023548594,2346339.986921199,2881651.345369534,3539092.596365893,4346527.356884559,5338176.255559229,6556067.268340246,8051816.944455612,9888818.014436804,12144926.095219541,14915759.360017417,18318751.0192852,22498126.364662122,27631015.312530603,33934959.50847223,41677132.15805755,51185661.33802335,62863536.691410564
Italy,0.20663679717635694,31,2/22/20,5.314682377545367,4.07753744390572,59.000000000000014,203.29993025003168,249.96456672614033,307.34041345583483,377.88607793636277,464.6245063981707,571.2725198150798,702.4000830817045,863.6261321879911,1061.8593507643868,1305.594213492748,1605.2749821138705,1973.7432515933888,2426.788224208495,2983.823291303276,3668.717914859556,4510.820455769217,5546.215777934776,6819.271517683827,8384.53927755581,10309.092212353187,12675.399175156805,15584.858583090729,19162.143432215154,23560.54364940969,28968.53470590949,35617.8539635908,43793.430832829945,53845.59625827932,66205.0947201904,81401.54202926946,100086.11984844926,123059.47942259205,151306.05021645286,186036.22361741227,228738.2193132191,281241.8568664451,345796.96515594434,425169.78960157104,522761.5283098917,642754.0765231358,790289.2246542767,971688.9887079204,1194726.5144469913,1468959.1637965036,1806138.0565413607,2220711.616554452,2730444.6999713313,3357179.835519957,4127773.196849635,5075245.414129371,6240196.538244919,7672545.790104169,9433670.644899605,11599036.913044268,14261432.519154405,17534943.549465172,21559842.9449471,26508601.325093202,32593277.511672396,40074605.44315061,49273166.86237077,60583128.537376285,74489132.66785048,91587064.24653268,112609585.27603918
Norway,0.20762467089735834,42,3/4/20,4.491513654171651,4.02535169073515,56.00000000000002,89.25644707378193,109.85247453515805,135.20105893888152,166.3988582464264,204.79558550078426,252.05240157655814,310.21378212406455,381.7959678931569,469.89582507064415,578.3248252653402,711.7739415282178,876.0165943182058,1078.1584274821962,1326.9447203287127,1633.1387353899067,2009.987370363279,2473.7942597726314,3044.625120494152,3747.1758565710384,4611.840980209066,5676.028572141422,6985.778670604847,8597.755105426828,10581.696950111509,13023.435649303718,16028.608351873869,19727.228099867487,24279.308593793492,29881.786878949017,36777.04344954809,45263.3883766432,55707.96712208269,68562.64438383188,84383.55315680441,103855.15476188959,127819.8507542495,157314.42781339856,193614.91233343678,238291.7752613892,293277.875515264,360952.08142369875,444242.18790864624,546751.5819259214,672915.1361013249,828191.0750019848,1019297.114769704,1254501.0922453534,1543978.6570968137,1900253.5018154029,2338739.1752885347,2878405.9204752566,3542601.3856397057,4360060.7156422855,5366149.722954044,6604394.921807381,8128366.619480674,10003996.533055091,12312430.198894328,15153537.578880891,18650233.743065313,22953796.55478843,28250411.417740274,34769226.23090427,42792265.033586405,52666629.23539777
Malaysia,0.20830855720569608,44,3/6/20,3.9080243297284967,4.110873864173311,61.00000000000001,49.800465417929715,61.33391097297686,75.5384232591262,93.03260297535775,114.57831449142522,141.1138647294788,173.79486604666258,214.04456268050635,263.6158124532183,324.6674230127467,399.8581670226775,492.4625706240273,606.5135177090692,746.9778803649887,919.972824121326,1133.0322080062433,1395.4346810251004,1718.607763528727,2116.625511049689,2606.8214336630203,3210.5433632588374,3954.083142887735,4869.82162576959,5997.638848204286,7386.650788837588,9097.34834943773,11204.231708920592,13799.054775663355,16994.82103267763,20930.70479306489,25778.11218441564,31748.14581554338,39100.798208736385,48156.27436774004,59308.93657467349,73044.47870608226,89961.07800256369,110795.44544288023,136454.90920569448,168056.92844056207,206977.75815674043,254912.38456581495,313948.3410377912,386656.61932534893,476203.63520287484,586489.1245780501,722315.9753952485,889599.3914406451,1095624.4970471833,1349363.60127893,1661866.9383202319,2046743.9006537704,2520755.7225355823,3104545.424889863,3823536.810425118,4709041.6598412385,5799623.347069292,7142776.258429864,8796994.153727371,10834317.545559643,13343471.034169743,16433727.227489153,20239665.518509626,24927032.962791666,30699962.494926482
Israel,0.21284616988420144,46,3/8/20,3.970582030243852,4.07753744390572,59.000000000000014,53.01537841532133,65.59032498760698,81.14797744679687,100.39581668409275,124.20913403879071,153.6708349832144,190.12068401558471,235.2162301617093,291.00818365954814,360.0336715651319,445.4316130584051,551.0854611161548,681.7998016988166,843.518841261115,1043.596718258959,1291.1319310101046,1597.3810899434286,1976.2708095311482,2445.0310180792376,3024.9784850021915,3742.486196316065,4630.182660491267,5728.435682840239,7087.188082760349,8768.228832677833,10848.002898246577,13421.087556678958,16604.493278035276,20542.984751121257,25415.664026498696,31444.1151436187,38902.48061723998,48129.92800918001,59546.0735000605,73670.06384464807,91144.18445859422,112763.06720922909,139509.826128398,172600.76431109084,213540.68503643986,264191.3223723878,326856.0031310215,404384.39015872945,500302.07013972814,618970.878890376,765787.2549024681,947427.6412201267,1172152.0952477248,1450179.91307941,1794154.349785596,2219717.5687112873,2746221.965481593,3397610.2140202126,4203504.054483847,5200551.33550908,6434092.567227536,7960222.771188206,9848342.389367819,12184313.25430625,15074363.13742872,18649916.434047576,23073570.65940268,28546490.53560966,35317555.91402461,43694679.5328239
Netherlands,0.21728425884272443,43,3/5/20,4.774585513562454,4.406719247264253,82.00000000000001,118.46120388117453,147.2114181742772,182.9392318401538,227.33808940448964,282.51242980643025,351.07743363289205,436.28297873728565,542.1676795521779,673.7503113271741,837.267692512418,1040.4703005541983,1292.9896328458733,1606.794725189583,1996.759466055844,2481.3675964819927,3083.5888115422217,3831.9674892785984,4761.97565120367,5917.694282663567,7353.9027051130315,9138.675033399544,11356.606786218897,14112.82458621531,17537.969003468177,21794.386721637522,27083.825526111857,33656.9968450002,41825.45909300046,51976.385070735356,64590.9133720296,80266.9536281779,99747.52652341404,123955.98185560599,154039.76392517993,191424.79866575342,237883.08038450815,295616.66162194184,367362.02712377906,456519.7990940138,567315.9215626195,705001.963764039,876104.0366047439,1088732.1204853053,1352964.46614958,1681325.2885819718,2089378.3959236082,2596464.890523458,3226619.9080424868,4009711.8466628646,4982858.084149902,6192184.285621968,7695010.690565384,9562569.005804053,11883378.681056213,14767442.59745161,18351461.038321916,22805311.07662231,28340098.492183555,35218163.86753803,43765517.13618257,54387289.962126866,67586938.37023112,83990105.80307254,104374277.67727417,129705633.02057666
Indonesia,0.22251454753523078,51,3/13/20,4.179630218979282,4.143134726391533,62.99999999999999,65.34168663053568,81.62574923261361,101.96802808992474,127.37988747787644,159.1247378008253,198.78084901416747,248.319818030131,310.2045912990469,387.5119159894544,484.0853077156863,604.726139963573,755.432355674843,943.6966690985438,1178.8790837164056,1472.6722468476912,1839.6827771330168,2298.157466961408,2870.890464703518,3586.3565394511766,4480.126771187166,5596.6370507544425,6991.397314763371,8733.75135275055,10910.324396898282,13629.329899352553,17025.949618711194,21269.054499345748,26569.6004878923,33191.11670469048,41462.80741430059,51795.9191904029,64704.18700720768,80829.3757829368,100973.18723333064,126137.11835950549,157572.2532287055,196841.46356353015,245897.11058833828,307178.1112630179,383731.19478041626,479362.3778796029,598826.1899267276,748062.055533747,934489.5870333394,1167377.4679704285,1458304.2675214235,1821734.0963146489,2275735.7237361316,2842880.909330193,3551366.61095503,4436416.862913099,5542034.021727464,6923186.446869808,8648541.382137137,10803878.909307214,13496356.706815029,16859837.64596549,21061545.09866949,26310376.840991702,32867290.897794586,41058279.68519258,51290577.49084578,64072907.08512544,80040772.07108572,99988052.44194625
Australia,0.22883499714548727,46,3/8/20,3.957726184059015,3.9512437185814275,52.00000000000001,52.33818315086455,65.79614047425403,82.71460415102818,103.9833900673617,130.7211165534749,164.33403740652574,206.59000291878638,259.71143884455796,326.49223347572206,410.44468042767176,515.9842054984159,648.6615931930631,815.4549267207263,1025.1365958631516,1288.7346752615797,1620.1129390207436,2036.7000171308885,2560.4060432282304,3218.7750042024713,4046.433398749438,5086.911396148326,6394.932277956429,8039.290574357894,10106.47026892566,12705.193368985341,15972.138070759755,20079.127262569684,25242.16544086586,31732.79932996941,39892.3997101243,50150.11559756592,63045.44506533983,79256.6098029034,99636.2257565074,125256.14592510666,157463.8337902611,197953.2323048831,248853.85575042805,312842.79019235395,393285.49312689865,494412.7975874579,621543.43012948,781363.7458864186,982279.3931849141,1234857.4032970087,1552381.9567600035,1951553.0564417639,2453364.853618941,3084209.8220721874,3877266.853535851,4874246.280503525,6127583.604759168,7703197.309397057,9683955.799707811,12174035.81449153,15304401.535681756,19239692.56658219,24186883.047570832,30406167.329979934,38224644.73327799,48053523.12669412,60409746.14676807,75943181.52064325,95470800.44775067,120019645.68282717
