Country,slope(log cases),start day,start date,intersecpt(log cases),MSE fit,total cases,total deaths,total recovered,mortality,temp,Population,Population Density,fraction of Population affected per million,exp MSE,pred_day 0,pred_day 1,pred_day 2,pred_day 3,pred_day 4,pred_day 5,pred_day 6,pred_day 7,pred_day 8,pred_day 9,pred_day 10,pred_day 11,pred_day 12,pred_day 13,pred_day 14,pred_day 15,pred_day 16,pred_day 17,pred_day 18,pred_day 19,pred_day 20,pred_day 21,pred_day 22,pred_day 23,pred_day 24,pred_day 25,pred_day 26,pred_day 27,pred_day 28,pred_day 29,pred_day 30,pred_day 31,pred_day 32,pred_day 33,pred_day 34,pred_day 35,pred_day 36,pred_day 37,pred_day 38,pred_day 39,pred_day 40,pred_day 41,pred_day 42,pred_day 43,pred_day 44,pred_day 45,pred_day 46,pred_day 47,pred_day 48,pred_day 49,pred_day 50,pred_day 51,pred_day 52,pred_day 53,pred_day 54,pred_day 55,pred_day 56,pred_day 57,pred_day 58,pred_day 59,pred_day 60,pred_day 61,pred_day 62,pred_day 63,pred_day 64
Greece,0.1368918393498703,46,3/8/20,4.427854925649295,4.290459441148391,1156,38,52,0.0328719723183391,9.766313932980593,10423054.0,81.0,110.90799299322444,72.99999999999999,83.75157074129952,96.03827068534201,110.12748005313313,126.28363439184967,144.8099630312086,166.05418029094497,190.41501161183982,218.34967709701328,250.38247291951157,287.11461165768554,329.2355062482475,377.5357093416612,432.92175091419034,496.4331526186741,569.2619382105478,652.7750062336172,748.5397848708726,858.3536504674407,984.2776618718784,1128.6752437440944,1294.256544863673,1484.129303984495,1701.8571779194738,1951.5266265952619,2237.8236104196103,2566.121539468015,2942.582125177848,3374.271027400843,3869.2904673539383,4436.931295435489,5087.847368015676,5834.255506019333,6690.164788255502,7671.639483021549,8797.10055285524,10087.671391274205,11567.574280517194,13264.585011267016,15210.554196956733,17442.005067029142,20000.818958926466,22935.02137457459,26299.683354587345,30157.955087774062,34582.251155413884,39655.60965574068,45473.25071758042,52144.36365435084,59794.15630090379,68566.20499651221,78625.14932002965,90159.7821537798,103386.59307253273,118553.83156221817,135946.16632953752,155890.02815146596,178759.7365427486,204984.52523072684,235056.59829621768,269540.36818339844,309083.0489637496,354426.803675381,406422.6737270232,466046.551802865,534417.498058249
Sweden,0.1442861101182863,43,3/5/20,5.0901464832498915,4.543294782270004,3700,110,16,0.02972972972972973,3.0793650793650684,10099265.0,25.0,366.36329475461827,94.0,162.41365119054473,187.62261781827806,216.74438360901166,250.38627204077855,289.2498720500742,334.14566940538276,386.0099490832003,445.924321139248,515.1382772795826,595.0952485404136,687.4627074997461,794.1669427911534,917.4332311290921,1059.8322446182576,1224.3336611539435,1414.3680959381866,1633.8986456701552,1887.5035374379945,2180.471605923688,2518.91259006216,2909.884549349973,3361.5410570228355,3883.301239760345,4486.046210031994,5182.345987607274,5986.721642592637,6915.9481268897525,7989.4041095113025,9229.476111438396,10662.025368099996,12316.927155716017,14228.693828952079,16437.194563102024,18988.486810750965,21935.776812635,25340.529193790255,29273.74878520201,33817.461402862646,39066.42446532873,45130.1031240637,52134.95311802115,60227.05796054291,69575.1754561138,80374.25708093452,92849.51362267102,107261.11186676903,123909.6002769624,143142.17682050084,165359.92965123802,191026.20165230185,220676.2532777401,254928.42520807358,294497.0336127409,340207.26694528427,393012.39493833925,454013.6486855551,524483.1864020743,605890.6238058744,699933.6824011123,808573.59482187,934076.0056014739,1079058.2203375243,1246543.7886162442,1440025.559002457,1663538.5210833785
Iceland,0.14898173139076953,45,3/7/20,3.9019206065429977,3.912023005428146,1020,2,135,0.00196078431372549,6.511463844797179,341243.0,3.0,2989.072303314647,49.99999999999999,49.497422947018656,57.44927232216921,66.67860049763559,77.39063672365442,89.82358069595394,104.25389931669191,121.00247438949545,140.44173795268537,163.00395391652444,189.19083016027557,219.58467482981538,254.86134491437963,295.80527503528117,343.32692063637234,398.48300345419824,462.5000094590783,536.8014617823818,623.0395750882634,723.1319952767387,839.3044414856599,974.1401986064419,1130.6375608608184,1312.276503790764,1523.096067222639,1767.7841699427042,2051.7818532606116,2381.4042714875054,2763.9811197504614,3208.0196217860425,3723.393702013922,4321.563548441902,5015.830448743647,5821.632566207333,6756.888232618552,7842.394391757818,9102.289053557373,10564.58804234401,12261.80797464548,14231.689319493857,16518.03561965756,19171.687535262998,22251.65336926295,25826.421213840156,29975.481895473527,34791.09658384822,40380.348370293796,46867.52343596099,54396.87475891805,63135.829815726705,73278.71360600366,85051.06978752551,98714.6760094037,114573.36496748908,132979.7806227207,154343.21981801608,179138.73366491505,207917.691084241,241320.03939842834,280088.5346099004,325085.2577990765,377310.78491121024,437926.4362037083,508280.1001068937,589936.205734104,684710.5105290565
Finland,0.15399424786689503,49,3/11/20,4.620756461742565,4.07753744390572,1240,11,10,0.008870967741935484,-0.20546737213403907,5540720.0,18.0,223.79762918898626,59.000000000000014,101.57083752846069,118.48077482025566,138.20594910497505,161.21505279640894,188.05480817911723,219.36295814724517,255.88341969579906,298.4839602284453,348.1768166908662,406.1427474635602,473.75908851422605,552.6324804555766,644.6370441404472,751.9589118894315,877.1481724633014,1023.1794640514095,1193.5226550338964,1392.2252919724233,1624.008773886786,1894.380538026817,2209.764922800195,2577.655817307088,3006.794724606927,3507.3784697016395,4091.3014876114535,4772.438448581693,5566.973935914414,6493.787009942592,7574.899795821039,8836.00075408648,10307.055067486122,12023.016647555101,14024.658679022987,16359.542436722199,19083.147395182023,22260.189483588412,25966.158809335844,30289.113388219055,35331.77150231935,41213.95240237183,48075.42334845755,56079.22063792201,65415.52353189266,76306.17312926632,89009.94356171151,103828.69075923273,121114.52488790988,141278.17688503172,164798.75788994477,192235.14346571424,224239.25311356035,261571.5406163263,305119.0632790293,355916.5594120492,415171.0348817696,484290.4429328563,564917.1387471512,658966.9036572593,768674.4662742371,896646.6021627403,1045924.073771899,1220053.8823845885,1423173.5488730462,1660109.4258666865,1936491.3773402867
Peru,0.1607765647312696,54,3/16/20,4.741860708998943,4.454347296253507,852,18,16,0.02112676056338028,26.84303350970019,32971854.0,26.0,25.840221177735412,85.99999999999997,114.64732865115688,134.6444060109397,158.12942423805723,185.71075881034284,218.10289959692972,256.144959599073,300.82241203240875,353.29261884614453,414.91481199120324,487.2853040970746,572.2788406840791,672.0971651332015,789.326054480932,927.0023035418652,1088.6923925715705,1278.584876342416,1501.5988879559316,1763.5115681648622,2071.10772124024,2432.355574193737,2856.613192368605,3354.8708985606513,3940.035975496131,4627.267026836702,5434.366658277543,6382.242651076821,7495.449574639978,8802.824868542339,10338.235871588704,12141.457149573142,14259.200848767936,16746.326766277158,19667.263483925402,23097.67737991734,27126.432753737834,31857.893840999444,37414.62835154905,43940.58256553683,51604.810237779995,60605.85190706956,71176.87805569306,83591.72935186533,98172.01044653897,115295.4210882139,135405.54037189146,159023.317581501,186760.5672941611,219335.81833469702,257592.9271449331,302522.93774399074,355289.75455821137,417260.29317107965,490039.8900432972,575513.8884858792,675896.478163997,793788.0533107326,932242.5755057053,1094846.6860401453,1285812.6172609548,1510087.3097467127,1773480.561977775,2082815.5321963103,2446105.491181901,2872761.4046937684,3373835.722968163
Iran,0.16252283624304278,33,2/24/20,5.83008899008205,4.110873864173311,38309,2640,12391,0.06891331018820643,7.049382716049371,83992949.0,52.0,456.09780887679034,61.00000000000001,340.3889689662559,400.4591750374674,471.13028180295356,554.2730851677035,652.0885300890423,767.1659736915261,902.5517303757867,1061.8297134380887,1249.2163079345885,1469.6719862517898,1729.032621055392,2034.1639717159967,2393.1434337552832,2815.4738625592136,3312.3351316704548,3896.880084876867,4584.582716499333,5393.647796860185,6345.492786481585,7465.314796181084,8782.757601554487,10332.69636896261,12156.160866181292,14301.421596821165,16825.26761051937,19794.509814920475,23287.74958491655,27397.459487529104,32232.431203098076,37920.65544381431,44612.71010640581,52485.7463496945,61748.17811592491,72645.19923623394,85465.27416832557,100547.77418827428,118291.96118068532,139167.55684487967,163727.17710368912,192620.96087683894,226613.78046980724,266605.48916923633,313654.74203647574,369007.02048005746,434127.6024697697,510740.35117533995,600873.3488372802,706912.5838835039,831665.1124897528,978433.366588049,1151102.575394637,1354243.6146681882,1593234.006309832,1874400.271389887,2205185.4049512707,2594345.905959702,3052183.578150694,3590818.2379738116,4224508.548721612,4970029.473920749,5847116.341879766,6878987.276609992,8092957.82483938,9521164.049442172,11201413.230914611
Norway,0.16278794915712844,42,3/4/20,4.802329031195071,4.02535169073515,4284,25,7,0.005835667600373483,6.410934744268072,5421241.0,15.0,790.2249687848225,56.00000000000002,121.79374888738528,143.3253155386123,168.66338594468212,198.48090095891692,233.56976871307427,274.8618965004153,323.45394082490276,380.6364329404302,447.92805341037905,527.115965968007,620.3032818840336,729.9649154232923,859.0133138269465,1010.875807509263,1189.5856347732552,1399.8890585240572,1647.3714198380533,1938.605476180032,2281.325963907193,2684.635021176304,3159.243926975929,3717.7575765070137,4375.009248148074,5148.454552909451,6058.635029078899,7129.723694431425,8390.167045045653,9873.44055124478,11618.937715492713,13673.016304278948,16090.229540330236,18934.774953752876,22282.19937140247,26221.40532642153,30857.01217515002,36312.13462910527,42731.652495640745,50286.05846665411,59175.98614679632,69637.53857876854,81948.55878328283,96436.00884975331,113484.65355521106,133547.27913523815,157156.71860203036,184940.00298386294,217635.01432148984,256110.08269989028,301387.0477829076,354668.3973302848,417369.20345508825,491154.7048002521,577984.5327600485,680164.7563280759,800409.1278042734,941911.1559543693,1108428.9207759288,1304384.8824230405,1534983.3350637686,1806348.625067345,2125687.8043872365,2501482.0389680597,2943711.855694445,3464122.210100217,4076534.4146357295
India,0.1655892780082567,48,3/10/20,3.912886998141879,4.02535169073515,1024,27,95,0.0263671875,27.529982363315696,1380004385.0,464.0,0.7420266276907519,56.00000000000002,50.04321830314767,59.05541711203599,69.69060760940683,82.24107163199538,97.05172755971266,114.52960954195883,135.1550538218197,159.49489958652785,188.21806713682622,222.11394150258548,262.11406673276446,309.3177470734693,365.02225861900644,430.75850172823505,508.33307402446843,599.8779202509891,707.9089234853338,835.3950479465701,985.8399336141589,1163.3781850841535,1372.8890009231618,1620.130266341085,1911.8967943871953,2256.207064536424,2662.5235907127912,3142.0129750186284,3707.85279410143,4375.593752169123,5163.587053531137,6093.488739940011,7190.854853194314,8485.84377957137,10014.04507828473,11817.45757226084,13945.643581635035,16457.09102121122,19420.820795756834,22918.283668406384,27045.598732897008,31916.19500849575,37663.928755302375,44446.762181609745,52451.10464347047,61896.9356435727,73043.85042234816,86198.19428938713,101721.48176457071,120040.33190813487,141658.1928875714,167169.17800201883,197274.3934129524,232801.20630836822,274725.9830381664,324200.92212200037,382585.71956826316,451484.9367469855,532792.0977799576,628741.7283554869,741970.7661255717,875591.0303979485,1033274.7427728049,1219355.4490467606,1438947.115972374,1698084.675952281,2003889.8821903078
Malaysia,0.16968829929436113,42,3/4/20,3.9710007366113746,3.912023005428146,2470,35,388,0.01417004048582996,26.84038800705467,32365999.0,99.0,76.31465353502607,49.99999999999999,53.037580939685235,62.846109760049224,74.46858325728908,88.24046410384291,104.55925391194334,123.89596643277535,146.80872255686614,173.95885951196982,206.13001922268896,244.25076678444472,289.4213918950752,342.9456668212078,406.3684775383877,481.52041420298565,570.5706079830275,676.0893392920307,801.1222245046512,949.2781224258624,1124.8332977824405,1332.854848236466,1579.3469574289343,1871.4241953955839,2217.516868372858,2627.614345062331,3113.553382546997,3689.3597738902154,4371.6531784866,5180.126819895408,6138.1158968079735,7273.271113352295,8618.356769026626,10212.196443752926,12100.793573619756,14338.659260802984,16990.385642609595,20132.510232231267,23855.72504219174,28267.494253029457,33495.155981712334,39689.5976769856,47029.61122560645,55727.05347210444,66032.9611015777,78244.79638108175,92715.03289545297,109861.3290900366,130178.58326210277,154253.21794750742,182780.10599680606,216582.62688284813,256636.43213060996,304097.605817455,360336.03294813813,426974.93882521335,505937.74065063836,599503.5636493348,710373.0240919687,841746.1779305447,997414.8848998937,1181872.2540156958,1400442.3294247629,1659433.7597662313,1966321.886444975,2329964.5064815306,2760857.5375614827
Philippines,0.1746452844843486,50,3/12/20,4.1895303034767695,3.9512437185814275,1418,71,42,0.05007052186177715,25.565255731922385,109581078.0,368.0,12.940190276281093,52.00000000000001,65.99178756670494,78.58458714950807,93.58039182097241,111.43775199462313,132.7027203879695,158.0255495392377,188.1805756066625,224.08989646868477,266.8515681677403,317.773181904849,378.41184832182563,450.62181173368293,536.6111502868475,639.0092958535096,760.947438324609,906.1542729505575,1079.0700185474277,1284.9821930834485,1530.187298470453,1822.1833586516034,2169.899198526745,2583.967474739327,3077.0498072187015,3664.223953538655,4363.444865334343,5196.093725228085,6187.631753033706,7368.378773704735,8774.44035452876,10448.81186210691,12442.693199613135,14817.054427131821,17644.50013952069,21011.489611826335,25020.980601147137,29795.577648650386,35481.2811523483,42251.95185195581,50314.62724343701,59915.85249164839,71349.2194313977,84964.344188866,101177.55794630805,120484.63775843492,143475.96671076812,170854.58699607785,203457.69794635175,242282.25639958523,288515.4622242542,343571.0612055268,409132.5753839223,487204.7827687886,580175.0206031391,690886.1867466387,822723.6714553733,979718.877808787,1166672.4962914481,1389301.3030913305,1654412.9709980695,1970114.2383703126,2346058.8016835405,2793742.511860498,3326854.9010688527,3961697.7891763956,4717683.770254793
